🔥测试源,#genre#
兵团卫视,http://112.132.10.54:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://112.132.10.54:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0


🔥太原电信卡,#genre#
CCTV1,http://110.177.144.14:9003/hls/1/index.m3u8
CCTV2,http://110.177.144.14:9003/hls/2/index.m3u8
CCTV3,http://110.177.144.14:9003/hls/3/index.m3u8
CCTV4,http://110.177.144.14:9003/hls/4/index.m3u8
CCTV5,http://110.177.144.14:9003/hls/5/index.m3u8
CCTV5,http://110.177.144.14:9003/hls/6/index.m3u8
CCTV6,http://110.177.144.14:9003/hls/7/index.m3u8
CCTV7,http://110.177.144.14:9003/hls/8/index.m3u8
CCTV8,http://110.177.144.14:9003/hls/9/index.m3u8
CCTV9,http://110.177.144.14:9003/hls/10/index.m3u8
CCTV10,http://110.177.144.14:9003/hls/11/index.m3u8
CCTV11,http://110.177.144.14:9003/hls/12/index.m3u8
CCTV12,http://110.177.144.14:9003/hls/13/index.m3u8
CCTV13,http://110.177.144.14:9003/hls/14/index.m3u8
CCTV14,http://110.177.144.14:9003/hls/15/index.m3u8
CCTV15,http://110.177.144.14:9003/hls/16/index.m3u8
CCTV16,http://110.177.144.14:9003/hls/17/index.m3u8
CCTV17,http://110.177.144.14:9003/hls/18/index.m3u8
东方卫视,http://110.177.144.14:9003/hls/22/index.m3u8
湖南卫视,http://110.177.144.14:9003/hls/33/index.m3u8
江苏卫视,http://110.177.144.14:9003/hls/35/index.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
北京卫视,http://110.177.144.14:9003/hls/20/index.m3u8
安徽卫视,http://110.177.144.14:9003/hls/21/index.m3u8
广东卫视,http://110.177.144.14:9003/hls/26/index.m3u8
湖北卫视,http://110.177.144.14:9003/hls/32/index.m3u8
江西卫视,http://110.177.144.14:9003/hls/36/index.m3u8
海南卫视,http://110.177.144.14:9003/hls/28/index.m3u8
黑龙江卫视,http://110.177.144.14:9003/hls/31/index.m3u8
东南卫视,http://110.177.144.14:9003/hls/24/index.m3u8
重庆卫视,http://110.177.144.14:9003/hls/22/index.m3u8
山西卫视,http://110.177.144.14:9003/hls/19/index.m3u8
吉林卫视,http://110.177.144.14:9003/hls/34/index.m3u8
辽宁卫视,http://110.177.144.14:9003/hls/37/index.m3u8
甘肃卫视,http://110.177.144.14:9003/hls/25/index.m3u8
